,AAPL,MSFT,AMZN,GOOGL,GOOG,BRK-B,NVDA,TSLA,META,UNH,JNJ,JPM,V,PG,XOM,HD,CVX,MRK,PEP,KO,ABBV,ADBE,WMT,TMO,CSCO,ACN,DHR,MCD,BMY,CRM,NFLX,LIN,TXN,INTC,HON,AMD,PM,NEE,UNP,WFC,VZ,MS,RTX,GS,AMGN,IBM,QCOM,CAT,AXP,CVS,SCHW,COP,LOW,SPGI,BA,LMT,DE,INTU,GE,MDT,AMT,NOW,ISRG,BKNG,GILD,PLD,SYK,T,ADI,BLK,PYPL,MO,MMC,ZTS,TGT,C,ADP,CI,DUK,SO,CSX,BDX,PNC,USB,VRTX,MU,CB,CL,REGN,SHW,ELV,MDLZ,EQIX,APD,GM,ETN
AAPL,1.0,0.5149821839716155,0.5820519500513345,0.4821310139444096,0.4864791466907271,0.4172856946400704,0.4338532684736623,0.4719152896449118,0.5251832282600097,0.01438742237129099,0.08175441695102043,0.4439420557464648,0.4900339961819621,0.24994950714200667,0.3563834632930722,0.4544625933161287,0.42201510452078245,0.21363295932744827,0.2507452240846678,0.13912638064114038,0.23853848071438144,0.4103234097893055,0.4592834196134488,0.38899085375871695,0.5386080874457304,0.40587930521995036,0.4427027229359733,0.2602388792301318,0.12496219722744845,0.452302656284357,0.33978818715238157,0.4986006752487797,0.4939999467227406,0.2996161716825276,0.46391988314230254,0.46269041056811644,0.04158359763937472,0.18167902855597803,0.47972315292125467,0.41913284321250566,0.1470491208834486,0.5035068309597687,0.18286218049607442,0.5229190167951839,0.2597846409722302,0.3340495100410321,0.5663971913560908,0.4708912788355491,0.55798459451036,0.08621303792954108,0.3740502275582333,0.42043597433566365,0.44186298162046683,0.5019902220370632,0.44578910864431276,0.042287743077674834,0.42717069465897306,0.372980620490977,0.3879300679969028,0.3118305971516657,0.04194570069140532,0.4410467867555403,0.48020337867703544,0.517788415630914,0.2678047073417045,0.45174843300515255,0.4403175352523848,0.13515510681143392,0.5846016111785141,0.6248684608713848,0.4620979481020309,-0.011933055842481504,0.3060297252059828,0.3600720618313798,0.4162990527738322,0.5060165999550643,0.43853462793701736,0.03497991699762444,-0.03650325247633666,0.04808259291136921,0.4017950403904106,0.294991296994299,0.537879434499404,0.5342785510371139,0.1494388094169714,0.3980722963339453,0.2347723304248447,0.15050709986018118,0.24264905688459476,0.4312928709870923,0.027785122570751497,0.1301196247029145,0.3372542886096314,0.5247143755596035,0.29499341138138246,0.3838908547241339
MSFT,0.5149821839716155,1.0,0.6668731605069207,0.5009702831320552,0.504413110657817,0.263722751528557,0.6227774399790379,0.4421577114975658,0.6708646730301228,0.014905005715397704,-0.13955520229802285,0.4753988981433914,0.3576650393424502,-0.00021209333476269286,0.16608751649457149,0.23229496100192798,0.2553247011034758,0.06771395433161294,-0.028550156261704252,-0.07532664863402586,0.1192496955620755,0.34900700176256616,0.34871919174755356,0.20676881478783582,0.5285364703798298,0.3427755051018705,0.3071091808115924,0.03735019489643148,-0.07066878574870648,0.4810285125346346,0.4561784344574116,0.3839411250664483,0.38284055251188,0.2703823582581879,0.3516525890189734,0.5006674240681888,0.05066898362214408,0.025569648765093773,0.2529690418018445,0.40992842019404935,-0.08763543254321944,0.5070354151952239,0.2180071818660993,0.5262927648203913,0.058999990729224135,0.10267747955581213,0.4214092261753529,0.5296388508582455,0.5309196551871805,0.07684401143925318,0.41528651120261667,0.23669490598025794,0.20089536661325183,0.4719304581794354,0.3725864138038851,0.0077082292538572005,0.3389565392674368,0.3997690196969735,0.4188572141192063,0.13860697831178906,-0.08651595448328289,0.6256200053140176,0.5012216372045271,0.4177242102506734,0.08083833173938546,0.26775761528980796,0.3699008146831121,-0.03041071583018965,0.500377808297243,0.5032808066709272,0.3766544626278657,-0.11384224529056096,0.19819769534709875,0.17081407061358064,0.18653172634265117,0.4559328886559614,0.3606813839268068,-0.09159897638621169,-0.15085310701508386,-0.15653075026708904,0.2992987684308528,-0.04664978527959785,0.41011992350559506,0.3866265460722169,0.16504730961612202,0.4341189704454962,0.10170577573763828,-0.10946703086365396,0.19446186644004101,0.2758184831866802,-0.03310752554291244,-0.0469994992047248,0.31792344197975325,0.3821819890704436,0.2595525290100346,0.5791169942141777
AMZN,0.5820519500513345,0.6668731605069207,1.0,0.5974888912844628,0.5947757415803675,0.3429682930163505,0.5742088956564576,0.4807132852177011,0.7311840184787692,0.0658917016947702,-0.16916974531513412,0.540814973236297,0.44701570414081554,0.0017267965776119108,0.2444180337815752,0.3603663913688357,0.3247798053282537,0.07799076291057491,-0.02684393768662867,-0.14843841210907655,0.11127316662659095,0.4608722748447717,0.3806565257436049,0.34424161327637715,0.5201762052112561,0.45155987216262367,0.3717920143949111,0.10300566366042294,-0.03460261045600588,0.5383657176890336,0.4271672668805325,0.37063288842525655,0.44465037108497396,0.33891864452052034,0.4239020455442445,0.5273603638616724,-0.05207467656587698,0.018057275072314305,0.3627603750949314,0.503353013670105,-0.17658752717459722,0.5741742013789264,0.19565296559270415,0.5949118204042692,0.05615915875578611,0.23869859796532542,0.5320369734100165,0.5481758317625964,0.6302517234881291,0.026712245073986614,0.45414706990493864,0.37571422687001804,0.3326261846758911,0.4619021864522332,0.4683123473271854,0.046256222766556575,0.3280043877606324,0.4484410886699749,0.4308149604928083,0.20599242942697443,-0.2092205387366972,0.6024353696593103,0.5300977856238122,0.47665432306215244,0.11938806937388008,0.3991357544367835,0.4959558783105267,-0.0996739597377702,0.5568123481505187,0.5537891294580345,0.4665640430166184,-0.1729666191635667,0.15990819705759335,0.20990950060010827,0.37847597671041366,0.5616650914499984,0.3971842224053704,-0.09426828266064917,-0.2804653510758522,-0.25223770943747537,0.3826279710508309,0.13630886673761058,0.5265586107972555,0.5412025074017285,0.12335664858555213,0.4948027974063381,0.02596504960190557,-0.14314110593543788,0.20407621936187087,0.3098338973737645,-0.020734592396011033,-0.09309739657631012,0.3323736978622129,0.41977585899607567,0.35200492177183473,0.5592142939481991
GOOGL,0.4821310139444096,0.5009702831320552,0.5974888912844628,1.0,0.9979568108098515,0.16809654099762789,0.4704754581953956,0.4943579691561652,0.5123680255530341,0.08526519635910153,-0.13122051398175852,0.38311253661163347,0.3405654203306831,-0.074539290570195,0.13396030200584824,0.21099602295840716,0.17899549096248926,-0.002217597044049327,-0.09500741998746644,-0.11425294671470612,0.012902601216734791,0.37317425680680166,0.22676354776551066,0.2490906144629986,0.38907810097361584,0.2933678623760277,0.2562826129647733,0.04359862135782887,0.0007991850851013142,0.3822348639252487,0.3125284986925009,0.2950490957178461,0.3444964152164812,0.20113666343193157,0.2726106873838976,0.47784417379002714,-0.1080296447456921,-0.015162573873319415,0.2515051466565401,0.34492526255390593,-0.13021500623831794,0.4286818844006715,0.16509532121998743,0.4525347173137397,0.012200782156735744,0.2356995445500194,0.42909324647185376,0.38797287858510965,0.4425472174308979,0.004492755582566943,0.3122726625439355,0.20520793875989024,0.21409805033246,0.27739724607492366,0.35810345678780164,-0.00797659450530622,0.23060908098157676,0.32818615588113054,0.3475838424347661,0.08153570252320735,-0.21571047141048316,0.41176908021173153,0.3475116109410838,0.38983271437302347,0.12254648913333537,0.23553482659146668,0.26648341935984177,-0.13301819529274098,0.4131233234186053,0.4349768996115842,0.3177926554308265,-0.18034633774758294,0.013267544392185285,0.09446126950242002,0.22988710852493968,0.40572684258041747,0.2538249839430064,-0.10142499477973775,-0.2371587646850954,-0.20064976871441773,0.2489103372099089,0.09208916503731221,0.3728302777711197,0.40463426459811347,0.11729999991376688,0.4151852514983365,-0.047545100632575374,-0.12484456620769327,0.14047484977756736,0.20406633948979092,-0.011851359851561013,-0.10214747645702695,0.28738900197665446,0.3630551640012216,0.20555188513598197,0.4706637566709574
GOOG,0.4864791466907271,0.504413110657817,0.5947757415803675,0.9979568108098515,1.0,0.17453373257031823,0.4752085532412871,0.4958343977587774,0.5132062540324337,0.08440839956989567,-0.13763285325051136,0.38983974088238904,0.35060413555249204,-0.07662765896543709,0.1385454973444229,0.21515037617540103,0.18203375074514244,-0.006557795472207685,-0.08520478747212976,-0.10917676106410762,0.017335796136732532,0.3736110218179759,0.23118501634112987,0.25330159034496746,0.3955847854704963,0.2909506459053188,0.25852925964720325,0.045734675090400814,0.005745077183025758,0.3861699016924029,0.32170209367172675,0.30330284063520596,0.34868996936125324,0.20838739355036945,0.2760375002841911,0.48306310731865537,-0.10550224913133407,-0.010444096793908866,0.25488916763317054,0.3502843608380226,-0.12390113228697436,0.43604586987805727,0.1660145451315309,0.461329425450334,0.018509155645516247,0.24388797935385734,0.4399975756848696,0.39423830727949066,0.44879093092311706,0.006819299349989804,0.3176327978205289,0.20825204947118303,0.21843167356579446,0.28112809274745193,0.3594714932581944,-0.003279951680416488,0.23634519410311255,0.3332883172844382,0.35370259992308445,0.08582980195653078,-0.20546843391295333,0.4143235161585593,0.3535771204481511,0.39699213257828575,0.11948280272394737,0.23904012383961848,0.2689124903482482,-0.12574909735848427,0.4194637669193651,0.4384895551509103,0.326049106989679,-0.17876624437452135,0.018205133634105128,0.09503901736800169,0.23192031176919908,0.4104217181162468,0.262240846851893,-0.095138820040758,-0.23282002493634704,-0.19523883558164978,0.25151897458394906,0.09982406942775493,0.3780371750493327,0.40751559787129077,0.1228439371110406,0.4236645358802914,-0.04315183864041501,-0.12151312843879276,0.14183125721796608,0.20986957803848205,-0.013256666768616426,-0.09670743183776521,0.2884145055714798,0.3659559885988431,0.21609550718479878,0.4751499357899843
BRK-B,0.4172856946400704,0.263722751528557,0.3429682930163505,0.16809654099762789,0.17453373257031823,1.0,0.1767401481170506,0.3400771337452635,0.21944138926779233,0.15042156619962196,0.3412895432930193,0.6268354835650005,0.6228201312878452,0.366639529001121,0.4188865233460803,0.3729850965340556,0.45049775640842044,0.27170697313592257,0.3182628616672273,0.3081419579454178,0.3170686297559781,0.3013564170862592,0.3878859266301617,0.341609200977625,0.41808314334491264,0.3570417970553584,0.3697905625621642,0.3336236678608283,0.25520371139600256,0.33975713409822267,0.2502076317714046,0.5434916761074035,0.35871198807462545,0.37499728277269345,0.5024278195472799,0.22054363625767642,0.18857439475427085,0.2676605006927042,0.5284478197469265,0.592214903315312,0.34761417134958733,0.5664849658937601,0.414901191586991,0.5943433560147341,0.3056733103847546,0.30505425926531143,0.39637024053246606,0.4777092922110617,0.5663673318830882,0.34857081377173765,0.5115239690535354,0.4271622068731656,0.3333796670115844,0.5154344819378837,0.33969284628227475,0.2811024401763559,0.3377337034394895,0.3100306550930435,0.43275038408222166,0.42623664470938444,0.16986446094168925,0.2956222592801826,0.3649831918053798,0.41603929695345987,0.27416359831097376,0.3843290389288855,0.4805190169401905,0.41364725676105746,0.4071900552009721,0.5175583825161019,0.39350171629373515,0.2456041148308239,0.5877952221258937,0.3451248409857491,0.25330570995895274,0.5380348161012704,0.60579482293448,0.2498055277128122,0.36004105932419866,0.35497385896400674,0.4499088392226721,0.30176145816184596,0.5876275460679443,0.5525311770245257,0.12409468173233365,0.2542127991133272,0.6187389450225106,0.28279729844581536,0.2561604857295972,0.4243648736091241,0.20991683543380305,0.22268274289828285,0.29425434493810365,0.4814173396763812,0.3295260669598004,0.2676330789395197
NVDA,0.4338532684736623,0.6227774399790379,0.5742088956564576,0.4704754581953956,0.4752085532412871,0.1767401481170506,1.0,0.4404330763498506,0.561252138607915,0.0338321287200803,-0.27134892193459564,0.4265099257431768,0.3174625187979482,-0.17440232001143416,0.19183700133001805,0.16923043476240657,0.2912663217268862,-0.01574549416306471,-0.12340843300259112,-0.19048931726189489,0.031634276429466285,0.32551327372063227,0.21426289017633993,0.25747268614350005,0.5716095377276161,0.2372927394919688,0.2888783070528153,-0.055472395780047624,-0.10511253628560939,0.41896942609471804,0.4502167589736904,0.2978717099356559,0.41219566659867096,0.3314305500567588,0.240302893982061,0.5797866675382041,-0.060332445560166356,0.014789588167104049,0.21122068693164334,0.3838346597980226,-0.1994123874780387,0.5431582534523048,0.24438884755947743,0.5371770686289766,0.04925628648091361,0.26374623051461377,0.5424778333119401,0.47844031060757347,0.5160931176253302,0.021442478408329437,0.38424124275989313,0.324951202654434,0.1271814589456685,0.33551608573838376,0.3849183053360378,-0.010390063599398307,0.2354514340133703,0.406166562659398,0.4744847502404071,0.0989848502070002,-0.2164752667089707,0.5198300490510173,0.5435975122323597,0.4563469276381276,0.0005351141916078663,0.20261698130130257,0.3454919859364552,-0.14894555542954369,0.5368886881362308,0.45856188419722616,0.34289226589269933,-0.24603512709200284,0.05830924287548624,0.06556772427317492,0.16200292925548332,0.49521125756354367,0.24634224217475117,-0.12702466988080727,-0.21388063640133198,-0.22269507155125703,0.20462500246661697,0.07908299793264054,0.3490093830731032,0.3590987750118434,0.07194921850140203,0.6177601410819532,-0.10046739939335689,-0.2365586271259624,0.16083246197804682,0.24384309188568754,-0.06250922700341219,-0.1922155441502861,0.3349883848582592,0.2923922903770518,0.2236005422153192,0.7588599895465435
TSLA,0.4719152896449118,0.4421577114975658,0.4807132852177011,0.4943579691561652,0.4958343977587774,0.3400771337452635,0.4404330763498506,1.0,0.4566751814279868,0.03204570914849851,-0.05689411553699217,0.47100908129668567,0.4008510434447035,0.052229930346056413,0.1826898172996487,0.31514921200661616,0.2407936351367611,0.08307664022905926,-0.0032633933099582603,-0.07093550730464143,0.06808386048600325,0.27078852171582585,0.3159722605203507,0.23556490621585574,0.367051584853455,0.29704022516254824,0.27141493922343746,0.04853367809267243,0.0486087990203702,0.4267960515921305,0.32928705549187964,0.2808270424663658,0.4278074919896731,0.258013370552134,0.30788689977437,0.45020119312218093,-0.03562085467391048,0.014735937819095017,0.2679465052854305,0.47890933798414775,-0.11665713566573836,0.5204935443831109,0.248289922973891,0.5511584101284048,0.06869304034360611,0.22085819362747383,0.47088245702163417,0.4176072717182795,0.5054000016831873,0.10229327920481705,0.36798326344548804,0.3173719498771092,0.2424186000627348,0.2877819422236467,0.3882045145757736,0.062033194194431145,0.24089972056681244,0.34073528847352696,0.35577329742476255,0.1306958109951615,-0.10932719460985289,0.44890162151054935,0.48303074313750594,0.41534665451333197,0.13199083507653822,0.2747129420079178,0.3123655056131796,-0.058061249053457005,0.4631594068072673,0.45287870568592437,0.42311912979390565,-0.07583756996124098,0.16880887958314864,0.07665185241814995,0.2530367766721847,0.46594499039676124,0.33048326301711717,-0.02206114963792308,-0.13518586115566084,-0.06280283396690514,0.27152147411353944,0.16295509631325622,0.4513349638868208,0.46594112431253065,0.13405174593029476,0.4280454131603899,0.05197542705827344,-0.03364693590659302,0.1612404862295168,0.26029674368201816,-0.008607980938185858,-0.048478103986487484,0.3468728981750205,0.3604500037591642,0.31418003523817745,0.458735839718361
META,0.5251832282600097,0.6708646730301228,0.7311840184787692,0.5123680255530341,0.5132062540324337,0.21944138926779233,0.561252138607915,0.4566751814279868,1.0,-0.0020433458136930346,-0.17572096412779892,0.4578298791000641,0.3953113517820279,-0.038741782753877026,0.19069340032340115,0.37933437089983457,0.2682853511539598,0.0635884169514332,-0.06525670220941751,-0.07885467955325051,0.1346742278750591,0.40524620535096667,0.3955162928183338,0.28400456744735786,0.5053796347485564,0.38070565798224665,0.29364106245276383,0.0316655259890168,-0.04992686198309926,0.48143276728979395,0.4354682081545478,0.3296330409899121,0.42942884513951,0.26407256069429275,0.35345695916827974,0.5121430257672398,0.02636810246458952,-0.009733350888934874,0.3181157273281496,0.4438221951474874,-0.160238826148566,0.5260615706116497,0.18486702978704594,0.5495610402141939,0.03526398028189416,0.2730493098256524,0.47153258684396737,0.4546451605986498,0.5800715598350122,0.03270823224672454,0.40035427007700497,0.29791910853059816,0.3446538873648262,0.5163152975030677,0.4788503522840265,-0.03071901116659903,0.3269595384511578,0.41955212942127545,0.4638580536064327,0.18130483912191256,-0.15287503973619357,0.5155342745790348,0.5619764836400383,0.5007196141231888,0.140348514257487,0.31599458411777387,0.41614135054464924,-0.03241143733915222,0.5405547599277145,0.5426184093197655,0.4550227276010755,-0.17689885488307233,0.14094118114384618,0.22849219352726646,0.27817414754135106,0.5334202854462998,0.3268533783083713,-0.2240786657676779,-0.25001712031559636,-0.22172116332485176,0.34605641707971835,0.06253027057282343,0.45524997215496477,0.4503915497585512,0.14787584658393726,0.4749782200310085,0.026144590275540225,-0.12381375738955608,0.1898055085207082,0.3290476249746662,-0.05684962104664345,-0.06306117515017684,0.35040595227881516,0.38279079770156954,0.31810911893040117,0.5133765381412725
UNH,0.01438742237129099,0.014905005715397704,0.0658917016947702,0.08526519635910153,0.08440839956989567,0.15042156619962196,0.0338321287200803,0.03204570914849851,-0.0020433458136930346,1.0,0.10275378784312719,0.05926179875375325,0.17414395134495336,0.018231589881925244,0.014384950068314726,0.0557463326723781,0.07348483286730964,0.13456832128437193,0.06633283592713207,-0.009203197151375084,0.03126227958446601,0.09108714040400664,0.023478350002202653,0.19172709378963584,-0.014447859445128044,0.10227324500773605,0.15739826446293956,0.1286419266596164,0.13195482767209027,0.16112664976885221,-0.03713821352076486,0.12972515117365097,0.0689654207591323,0.08434832351765703,0.10827845138604639,0.03391954683020717,-0.03303743480562232,0.000844474812903044,0.15291354433773832,0.05510159735309329,0.08934819760764001,0.03231963465530572,0.08100471176296178,0.03604213518841167,0.187158090655164,0.07340343769258549,0.131036183845702,0.04244269911345744,0.10726741646701328,0.4223448929934229,0.010711179647559134,0.02665060974153913,0.09803475021291731,0.07462866675677968,-0.0015930860619481054,0.18672684721121485,0.08698242265059136,0.09945691985669078,0.08193606205865253,0.1711005575395874,-0.019337962278876773,0.05789787088702389,0.08030832520790798,0.04505157721463625,0.1462964196618629,0.061941181366058855,0.12781183269255306,0.08526586950270545,0.06369451526481605,0.06409018383259049,0.10969422109866557,0.02316294916482907,0.30786527960025084,0.036686852126842216,-0.0220826214494651,0.07585378391576846,0.14610771364692143,0.39344338655149835,0.03728506005627515,0.08401708235392957,0.07842751502741062,0.14318540732943982,0.04823444948899379,0.12655809353317568,0.059317777227614325,0.04959396883323231,0.08088609763321122,0.040946161976742945,0.028308355031067017,0.050913935217805704,0.5091608677483109,-0.011776066368123134,0.02887931373863733,0.13280698029670146,0.08106898036003919,0.021947764033926873
